ident,latitude_deg,longitude_deg,term
MRZP,9.994,-85.3102,
MRNS,9.9765,-85.653,
MRDM,9.9279,-84.99,
SVNA,9.923,-72.0805,
MRSM,9.9167,-84.6167,
SVHD,9.9,-72.55,
SVPS,9.89,-70.1217,
DN50,9.8847,6.8186,
DFCE,9.883,-2.917,
SVAO,9.8633,-66.2933,
MRPP,9.8583,-84.6944,
MRAR,9.85,-83.65,
SVQQ,9.85,-65.3167,
SVRX,9.8435,-72.5472,
SVSK,9.7783,-68.175,
DXNG,9.7673,1.0912,
RPMS,9.7558,125.4809,
SVHL,9.7167,-66.7833,
SVEG,9.7,-68.3333,
SVCM,9.6833,-68.4167,
SVLJ,9.6833,-64.1833,
SVQK,9.6783,-66.1633,
SVBE,9.6667,-72.5833,
SVJO,9.6667,-67.05,
DNMN,9.6522,6.4623,
SVDG,9.65,-63.7217,
SVLG,9.65,-68.9833,
DNJO,9.6398,8.8691,
GFKB,9.6383,-11.5156,
SVGP,9.6333,-67.1833,
HADR,9.6247,41.8542,
SVGG,9.5833,-63.05,
SV74,9.5819,-72.788,
MRSH,9.5808,-82.9599,
SVHE,9.5667,-67.5667,
MRDD,9.55,-82.8833,
MRLY,9.55,-84.5667,
MP02,9.5433,-82.7338,
MRET,9.5333,-84.4667,
MRLI,9.5153,-84.3015,
SVTT,9.5113,-66.5539,
SVLM,9.4979,-62.9013,
SVFK,9.4833,-67.8167,
SVDV,9.45,-63.175,
SVEJ,9.45,-70.8,
SVUK,9.45,-68.3667,
MP17,9.4344,-82.4991,
SVCK,9.4167,-68.8833,
SVFS,9.4016,-66.6431,
SVHK,9.4,-67.7833,
SVRN,9.3833,-63.2667,
SVHT,9.3667,-63.0833,
SVVH,9.3667,-62.9167,
MPFS,9.3651,-79.9498,
MRPL,9.358,-83.9795,
SVQI,9.35,-65.8,
SVDB,9.3333,-68.4333,
SVHM,9.3333,-67.9167,
SVCW,9.3267,-70.9333,
SVKL,9.325,-70.975,
EAL,9.3193,166.8478,
SVOL,9.3167,-64.6333,
MRSF,9.3,-83.6167,
SVLU,9.3,-66.6783,
SVAV,9.2733,-63.4183,
DNYO,9.2576,12.4304,
SVMK,9.23,-67.97,
SVGE,9.21,-69.5817,
SVRU,9.2002,-66.3111,
SVBG,9.2,-68.1667,
SVBT,9.2,-69.75,
SVMX,9.2,-64.05,
SVTO,9.2,-64.85,
SVRK,9.1667,-67.75,
SVNP,9.1333,-69.055,
MRPY,9.1224,-83.7064,
SVIM,9.1,-69.62,
SVJI,9.0972,-63.1186,
SVFY,9.0333,-69.1,
SVLA,9.0167,-63.75,
SVTR,9.0167,-62.7333,
SVQD,8.9583,-65.1383,
SVSI,8.95,-68.0833,
FEGO,8.9,22.783,
SVSN,8.8756,-66.8399,
SVMQ,8.8417,-70.0333,
SVQW,8.8333,-66.3667,
SVNX,8.8281,-63.095,
SVPF,8.8191,-64.7397,
SVSD,8.8167,-69.6333,
SVSY,8.8,-71.5833,
MP21,8.7704,-82.6644,
